identifiant,nom_categorie,type_cat,url,id_parent
148,Composteur,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/composteur.html,25
149,"Serre, film",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/serre-film.html,25
150,Panier de récolte,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/panier-de-recolte.html,25
151,"Brouette, chariot",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/brouette-chariot.html,25
152,Outils à main du jardinier,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/outils-a-main-du-jardinier.html,25
26,Motoculture,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture.html,4
153,"Motoculteur, motobineuse, tarière",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/motoculteur-motobineuse-tariere.html,26
154,Scarificateur,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/scarificateur.html,26
155,"Tondeuse, autoportée, robot de tonte",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/tondeuse-autoportee-robot-de-tonte.html,26
156,Coupe bordure,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/coupe-bordure.html,26
157,Taille-haie,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/taille-haie.html,26
158,Débroussailleuse,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/debroussailleuse.html,26
159,"Aspirateur, souffleur",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/aspirateur-souffleur.html,26
160,"Tronçonneuse, élagueuse",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/tronconneuse-elagueuse.html,26
161,Broyeur,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/broyeur.html,26
162,"Fendeuse à bois, scie à bûche",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/fendeuse-a-bois-scie-a-buche.html,26
163,"Huile, consommable et pièce détachée",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/huile-consommable-et-piece-detachee.html,26
27,Aménagement extérieur,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur.html,4
164,"Abri, carport",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur/abri-carport.html,27
165,"Clôture, grillage, occultation",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur/cloture-grillage-occultation.html,27
166,"Portail, portillon",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur/portail-portillon.html,27
167,Terrasse et sol extérieur,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur/terrasse-et-sol-exterieur.html,27
168,Eclairage,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur/eclairage.html,27
169,"Chauffage, brumisation",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur/chauffage-brumisation.html,27
28,Plein air,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air.html,4
170,Mobilier de jardin,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/mobilier-de-jardin.html,28
171,Barbecue,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/barbecue.html,28
172,Plancha,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/plancha.html,28
173,Accessoires et housse,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/accessoires-et-housse.html,28
174,"Combustible, allume feu",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/combustible-allume-feu.html,28
175,"Piscine, spa",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/piscine-spa.html,28
176,Jeu plein air,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/jeu-plein-air.html,28
29,Décoration extérieure,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/decoration-exterieure.html,4
177,Décoration du jardin,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/decoration-exterieure/decoration-du-jardin.html,29
178,Bassin,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/decoration-exterieure/bassin.html,29
179,Galet décoratif,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/decoration-exterieure/galet-decoratif.html,29
5,Animalerie,CAT,https://www.lamaison.fr/animalerie.html,
30,Chien,S_CAT,https://www.lamaison.fr/animalerie/chien.html,5
180,Alimentation,PAGE_LIST,https://www.lamaison.fr/animalerie/chien/alimentation.html,30
181,Friandise,PAGE_LIST,https://www.lamaison.fr/animalerie/chien/friandise.html,30
